flow,age_group,gestation_group,no_users,no_turns,question_consistency,response_appropriateness,response_mapping_accuracy
anc,18-24,14-27 weeks,5,13,55.8% (13),91.7% (12),92.3% (13)
anc,18-24,28+ weeks,2,16,69.3% (16),68.8% (16),100.0% (16)
anc,25-34,14-27 weeks,5,19,70.1% (19),78.9% (19),94.7% (19)
anc,25-34,28+ weeks,3,28,73.7% (28),82.1% (28),100.0% (28)
anc,35+,14-27 weeks,4,18,64.6% (18),83.3% (18),94.4% (18)
anc,35+,28+ weeks,4,22,64.6% (22),86.4% (22),100.0% (22)
dma,18-24,14-27 weeks,5,25,67.0% (25),100.0% (25),68.0% (25)
dma,18-24,28+ weeks,4,16,69.9% (16),100.0% (16),100.0% (16)
dma,25-34,14-27 weeks,5,25,62.7% (25),96.0% (25),44.0% (25)
dma,25-34,28+ weeks,5,25,66.6% (25),100.0% (25),56.0% (25)
dma,35+,14-27 weeks,5,21,65.9% (21),95.2% (21),52.4% (21)
dma,35+,28+ weeks,5,22,69.2% (22),100.0% (22),68.2% (22)
kab,18-24,14-27 weeks,4,60,62.3% (57),90.0% (60),78.3% (60)
kab,18-24,28+ weeks,4,65,62.8% (62),87.7% (65),83.1% (65)
kab,25-34,14-27 weeks,4,25,68.5% (22),96.0% (25),80.0% (25)
kab,25-34,28+ weeks,5,82,63.1% (76),87.8% (82),75.6% (82)
kab,35+,14-27 weeks,4,56,62.8% (53),85.7% (56),83.9% (56)
kab,35+,28+ weeks,5,105,62.1% (93),88.6% (105),71.4% (105)
onboarding,18-24,14-27 weeks,5,35,85.3% (35),98.6% (35),94.3% (35)
onboarding,18-24,28+ weeks,5,35,85.0% (35),91.4% (35),100.0% (35)
onboarding,25-34,14-27 weeks,5,35,91.5% (35),94.3% (35),94.3% (35)
onboarding,25-34,28+ weeks,5,35,87.8% (35),92.9% (35),94.3% (35)
onboarding,35+,14-27 weeks,5,35,91.8% (35),100.0% (35),91.4% (35)
onboarding,35+,28+ weeks,5,35,92.7% (35),100.0% (35),100.0% (35)
