Sequence,Users_Onboarding,Users_Started_DMA,Users_Completed_DMA,DMA_Completion_Rate_Raw,DMA_Completion_Rate_Fmt
province → area_type → relationship_status → education_level → hunger_days → num_children → phone_ownership,185,173,152,0.8216216216216217,82.2% (152)
area_type → province → relationship_status → education_level → hunger_days → num_children → phone_ownership,54,52,47,0.8703703703703703,87.0% (47)
num_children → province → area_type → relationship_status → education_level → hunger_days → phone_ownership,45,43,40,0.8888888888888888,88.9% (40)
phone_ownership → province → area_type → relationship_status → education_level → hunger_days → num_children,39,38,29,0.7435897435897436,74.4% (29)
province → area_type → education_level → relationship_status → hunger_days → num_children → phone_ownership,32,30,26,0.8125,81.2% (26)
num_children → area_type → province → relationship_status → education_level → hunger_days → phone_ownership,28,25,22,0.7857142857142857,78.6% (22)
relationship_status → province → area_type → education_level → hunger_days → num_children → phone_ownership,22,19,17,0.7727272727272727,77.3% (17)
education_level → province → area_type → relationship_status → hunger_days → num_children → phone_ownership,22,22,20,0.9090909090909091,90.9% (20)
province → area_type → num_children → relationship_status → education_level → hunger_days → phone_ownership,18,17,14,0.7777777777777778,77.8% (14)
num_children → province → relationship_status → area_type → education_level → hunger_days → phone_ownership,16,14,12,0.75,75.0% (12)
area_type → province → num_children → relationship_status → education_level → hunger_days → phone_ownership,13,13,11,0.8461538461538461,84.6% (11)
province → area_type → relationship_status → education_level,12,0,0,0.0,0.0% (0)
province → relationship_status → area_type → education_level → hunger_days → num_children → phone_ownership,12,11,10,0.8333333333333334,83.3% (10)
province → area_type,12,0,0,0.0,0.0% (0)
num_children → relationship_status → province → area_type → education_level → hunger_days → phone_ownership,12,11,8,0.6666666666666666,66.7% (8)
province → area_type → relationship_status → education_level → num_children → hunger_days → phone_ownership,11,11,8,0.7272727272727273,72.7% (8)
area_type → province → education_level → relationship_status → hunger_days → num_children → phone_ownership,10,9,9,0.9,90.0% (9)
num_children → hunger_days → province → area_type → relationship_status → education_level → phone_ownership,10,10,8,0.8,80.0% (8)
hunger_days → province → area_type → relationship_status → education_level → num_children → phone_ownership,9,9,8,0.8888888888888888,88.9% (8)
num_children → education_level → province → area_type → relationship_status → hunger_days → phone_ownership,8,8,6,0.75,75.0% (6)
province → area_type → num_children → education_level → relationship_status → hunger_days → phone_ownership,8,8,7,0.875,87.5% (7)
relationship_status → province → num_children → area_type → education_level → hunger_days → phone_ownership,8,7,7,0.875,87.5% (7)
province,7,0,0,0.0,0.0% (0)
num_children → phone_ownership → province → area_type → relationship_status → hunger_days → education_level,6,5,5,0.8333333333333334,83.3% (5)
num_children → phone_ownership → province → area_type → relationship_status → education_level → hunger_days,6,6,5,0.8333333333333334,83.3% (5)
hunger_days → num_children → province → area_type → relationship_status → education_level → phone_ownership,5,4,3,0.6,60.0% (3)
num_children → phone_ownership → area_type → province → relationship_status → education_level → hunger_days,5,5,5,1.0,100.0% (5)
hunger_days → num_children → province → area_type → relationship_status → phone_ownership → education_level,5,4,3,0.6,60.0% (3)
phone_ownership → num_children → province → area_type → relationship_status → education_level → hunger_days,5,5,4,0.8,80.0% (4)
province → area_type → relationship_status,5,0,0,0.0,0.0% (0)
phone_ownership → province → area_type → relationship_status → education_level → num_children → hunger_days,5,4,2,0.4,40.0% (2)
num_children,5,0,0,0.0,0.0% (0)
province → area_type → relationship_status → education_level → hunger_days,5,0,0,0.0,0.0% (0)
area_type → num_children → province → relationship_status → education_level → hunger_days → phone_ownership,4,4,2,0.5,50.0% (2)
area_type → province → relationship_status → education_level,4,0,0,0.0,0.0% (0)
province → area_type → education_level → num_children → relationship_status → hunger_days → phone_ownership,4,4,4,1.0,100.0% (4)
phone_ownership,4,0,0,0.0,0.0% (0)
phone_ownership → education_level → province → area_type → relationship_status → hunger_days → num_children,4,4,4,1.0,100.0% (4)
num_children → hunger_days → province → area_type → relationship_status → phone_ownership → education_level,3,3,0,0.0,0.0% (0)
num_children → hunger_days → province → relationship_status → area_type → education_level → phone_ownership,3,3,3,1.0,100.0% (3)
province → area_type → phone_ownership → relationship_status → education_level → hunger_days → num_children,3,3,3,1.0,100.0% (3)
num_children → hunger_days → area_type → province → relationship_status → education_level → phone_ownership,3,3,3,1.0,100.0% (3)
num_children → province,3,0,0,0.0,0.0% (0)
province → area_type → relationship_status → education_level → hunger_days → phone_ownership → num_children,3,3,3,1.0,100.0% (3)
phone_ownership → relationship_status → province → area_type → education_level → hunger_days → num_children,3,2,2,0.6666666666666666,66.7% (2)
area_type → province → hunger_days → relationship_status → education_level → num_children → phone_ownership,3,3,3,1.0,100.0% (3)
hunger_days → area_type → province → relationship_status → education_level → num_children → phone_ownership,3,3,3,1.0,100.0% (3)
area_type → province → num_children → education_level → relationship_status → hunger_days → phone_ownership,3,3,1,0.3333333333333333,33.3% (1)
phone_ownership → area_type → province → relationship_status → education_level → hunger_days → num_children,3,3,3,1.0,100.0% (3)
area_type → province → relationship_status → education_level → num_children → hunger_days → phone_ownership,3,3,3,1.0,100.0% (3)
province → area_type → hunger_days → relationship_status → education_level → num_children → phone_ownership,3,3,3,1.0,100.0% (3)
phone_ownership → hunger_days → province → area_type → relationship_status → education_level → num_children,2,2,2,1.0,100.0% (2)
phone_ownership → province → area_type → education_level → relationship_status → hunger_days → num_children,2,2,2,1.0,100.0% (2)
phone_ownership → province → relationship_status → area_type → education_level → hunger_days → num_children,2,2,2,1.0,100.0% (2)
num_children → phone_ownership → province → area_type → education_level → relationship_status → hunger_days,2,2,2,1.0,100.0% (2)
num_children → relationship_status → province → education_level → hunger_days → phone_ownership → area_type,2,2,2,1.0,100.0% (2)
num_children → province → relationship_status → education_level → area_type → hunger_days → phone_ownership,2,2,2,1.0,100.0% (2)
num_children → province → area_type → relationship_status → education_level → phone_ownership → hunger_days,2,2,1,0.5,50.0% (1)
phone_ownership → province,2,0,0,0.0,0.0% (0)
num_children → area_type → province → relationship_status,2,0,0,0.0,0.0% (0)
phone_ownership → num_children → area_type → province → relationship_status → education_level → hunger_days,2,2,2,1.0,100.0% (2)
province → area_type → hunger_days → education_level → relationship_status → num_children → phone_ownership,2,2,1,0.5,50.0% (1)
phone_ownership → relationship_status → province → education_level → area_type → hunger_days → num_children,2,2,2,1.0,100.0% (2)
area_type,2,0,0,0.0,0.0% (0)
education_level → province,2,0,0,0.0,0.0% (0)
province → num_children → area_type → relationship_status → education_level → hunger_days → phone_ownership,2,2,1,0.5,50.0% (1)
province → relationship_status → education_level → num_children → area_type → hunger_days → phone_ownership,2,2,2,1.0,100.0% (2)
hunger_days → num_children → province → relationship_status → area_type → education_level → phone_ownership,2,2,2,1.0,100.0% (2)
province → relationship_status → num_children → education_level → hunger_days → phone_ownership → area_type,2,2,2,1.0,100.0% (2)
hunger_days → num_children → area_type → province → relationship_status → phone_ownership → education_level,2,2,0,0.0,0.0% (0)
hunger_days → num_children → province → relationship_status → education_level → phone_ownership → area_type,2,2,1,0.5,50.0% (1)
relationship_status → province → education_level → area_type → hunger_days → num_children → phone_ownership,2,2,2,1.0,100.0% (2)
phone_ownership → province → area_type → num_children → relationship_status → education_level → hunger_days,2,1,0,0.0,0.0% (0)
area_type → province → relationship_status → education_level → hunger_days,2,0,0,0.0,0.0% (0)
education_level → province → area_type → relationship_status → num_children → hunger_days → phone_ownership,2,1,1,0.5,50.0% (1)
area_type → province → education_level → relationship_status → hunger_days → phone_ownership → num_children,2,1,1,0.5,50.0% (1)
relationship_status → province → education_level → num_children → hunger_days → phone_ownership → area_type,2,2,0,0.0,0.0% (0)
education_level → province → area_type → relationship_status → hunger_days → phone_ownership → num_children,2,1,1,0.5,50.0% (1)
relationship_status → province → num_children → education_level → area_type → hunger_days → phone_ownership,2,2,1,0.5,50.0% (1)
