contact_id,flow_group,question_key,llm_question_text,user_answer_raw,user_answer_mapped,user_answer_mapped_by_human,question_ts,answer_ts,response_latency_seconds
557461212,other,@assessment_name-1,,F,Before 14 weeks,Before 14 weeks,,2025-08-16 16:07:28,
557461212,other,@assessment_name-2,,C,Contractions stop,TBA,,2025-08-16 16:08:12,
557461212,other,@assessment_name-3,,A,1 to 4 check-ups,1 to 4 check-ups,,2025-08-16 16:09:28,
557461212,other,@assessment_name-4,,A,Yes,Yes,,2025-08-16 16:10:33,
557461212,other,@assessment_name-5,,B,Baby only,Baby only,,2025-08-16 16:12:34,
557461212,other,@assessment_name-6,,A,Yes,Yes,,2025-08-16 16:13:13,
557461212,other,first_survey,,A,TRUE,TRUE,,2025-10-28 6:26:38,
557461212,other,intro,,A,YES,YES,,2025-10-28 6:26:38,
561357164,other,first_survey,,B,TRUE,TRUE,,2025-11-12 11:00:07,
561357164,other,intro,,B,NO,NO,,2025-11-12 11:00:07,
561357164,other,intent,,Yes,YES,YES,,2025-11-12 11:00:43,
563272822,other,first_survey,,A,TRUE,TRUE,,2025-11-21 10:12:42,
563272822,other,intro,,A,YES,YES,,2025-11-21 10:12:42,
564411809,other,first_survey,,A,TRUE,TRUE,,2025-11-09 6:26:30,
564411809,other,intro,,A,YES,YES,,2025-11-09 6:26:30,
564411809,other,intent,,Yes,YES,YES,,2025-11-09 6:31:47,
564919298,other,first_survey,,a,TRUE,TRUE,,2025-10-17 8:01:44,
564919298,other,intro,,a,YES,YES,,2025-10-17 8:01:44,
565039718,other,first_survey,,A,TRUE,TRUE,,2025-10-05 13:38:06,
565039718,other,intro,,A,YES,YES,,2025-10-05 13:38:06,
565556068,other,first_survey,,A,TRUE,TRUE,,2025-10-03 8:54:46,
565556068,other,intro,,A,YES,YES,,2025-10-03 8:54:46,
565942328,other,results[counter],,a,"response.body.user_context[""@result""]","response.body.user_context[""@result""]",,2025-09-05 16:04:35,
565942328,other,first_survey,,C,TRUE,TRUE,,2025-10-24 7:22:27,
565942328,other,intro,,C,SOON,SOON,,2025-10-24 7:22:28,
566612966,other,first_survey,,a,TRUE,TRUE,,2025-10-12 7:51:34,
566612966,other,intro,,a,YES,YES,,2025-10-12 7:51:34,
567007154,other,first_survey,,A,TRUE,TRUE,,2025-10-31 7:26:50,
567007154,other,intro,,A,YES,YES,,2025-10-31 7:26:50,
567831506,other,lower(results[counter]),,Don't have,"response.body.user_context[""@result""]","response.body.user_context[""@result""]",,2025-10-09 6:35:29,
567831506,other,intent,,Yea,YES,YES,,2025-10-23 7:27:34,
567831506,other,first_survey,,C,TRUE,TRUE,,2025-11-17 6:31:42,
567831506,other,intro,,C,SOON,SOON,,2025-11-17 6:31:42,
567895391,other,first_survey,,a,TRUE,TRUE,,2025-11-21 12:36:00,
567895391,other,intro,,a,YES,YES,,2025-11-21 12:36:00,
567895391,other,intent,,"Yes, at the hospital on the 25th of November",YES,YES,,2025-11-21 12:38:30,
568008549,other,first_survey,,a,TRUE,TRUE,,2025-11-02 6:47:54,
568008549,other,intro,,a,YES,YES,,2025-11-02 6:47:54,
568008549,other,intent,,yes,YES,YES,,2025-11-02 6:51:18,
568209038,other,lower(results[counter]),,Okay,"response.body.user_context[""@result""]","response.body.user_context[""@result""]",,2025-10-09 8:20:39,
568209038,other,intent,,I will,YES,YES,,2025-10-09 8:21:24,
568209038,other,first_survey,,A,TRUE,TRUE,,2025-11-07 16:36:56,
568209038,other,intro,,A,YES,YES,,2025-11-07 16:36:56,
572343048,other,first_survey,,a,TRUE,TRUE,,2025-10-30 6:33:44,
572343048,other,intro,,a,YES,YES,,2025-10-30 6:33:44,
572343048,other,intent,,Yes,YES,YES,,2025-10-30 6:36:54,
573232416,other,intent,,Yes,YES,YES,,2025-10-12 6:20:18,
